id,start,end,length,remove,change,new name,new start,new end,Explanation
205_Jurss_Ginsburg_MitchellvWisconsin.mp3,2993.88,2996.56,2.68,1,,,,,second speaker inaudible
206_Ginsburg_Jurss_MitchellvWisconsin.mp3,2995.88,2997.88,2,,,,,,
207_Jurss_Ginsburg_MitchellvWisconsin.mp3,2996.56,3001.88,5.32,,,,,,
208_Ginsburg_Jurss_MitchellvWisconsin.mp3,3013.04,3019.04,6,1,,,,,audience laughter
209_Jurss_Roberts_MitchellvWisconsin.mp3,3035.76,3041.76,6,,,,,,
210_Roberts_Jurss_MitchellvWisconsin.mp3,3039.84,3042.04,2.2,,,,,,
211_Jurss_Roberts_MitchellvWisconsin.mp3,3041.84,3045.92,4.08,,,,,,
212_Roberts_Jurss_MitchellvWisconsin.mp3,3043.92,3049.92,6,,,,,,
213_Jurss_Roberts_MitchellvWisconsin.mp3,3083.92,3089.92,6,,,,,,
214_Roberts_Jurss_MitchellvWisconsin.mp3,3099.72,3102,2.28,,,,,,
215_Jurss_Roberts_MitchellvWisconsin.mp3,3101.72,3106,4.28,1,,,,,first speaker inaudible
216_Roberts_Jurss_MitchellvWisconsin.mp3,3114.16,3120.16,6,,,,,,
217_Jurss_Kagan_MitchellvWisconsin.mp3,3221.04,3227.04,6,,,,,,
218_Kagan_Jurss_MitchellvWisconsin.mp3,3276.8,3282.8,6,,,,,,
219_Jurss_Kagan_MitchellvWisconsin.mp3,3302.44,3308.44,6,,,,,,
220_Kagan_Kagan_MitchellvWisconsin.mp3,3309.72,3314.08,4.36,1,,,,,audience laughter
221_Kagan_Jurss_MitchellvWisconsin.mp3,3311.72,3318.08,6.36,,,,,,
222_Jurss_Roberts_MitchellvWisconsin.mp3,3367.08,3370.16,3.08,,,,,,
223_Roberts_Jurss_MitchellvWisconsin.mp3,3369.08,3374.16,5.08,,,,,,
224_Jurss_Roberts_MitchellvWisconsin.mp3,3374.64,3380.2,5.56,1,,,,,formal turn change
225_Roberts_Hinkel_MitchellvWisconsin.mp3,3378.2,3384.2,6,1,,,,,formal turn change
226_Hinkel_Alito_MitchellvWisconsin.mp3,3425.88,3431.88,6,,,,,,
227_Alito_Hinkel_MitchellvWisconsin.mp3,3484.96,3490.96,6,,,,,,
228_Hinkel_Kavanaugh_MitchellvWisconsin.mp3,3506.72,3509.36,2.64,,,,,,
229_Kavanaugh_Hinkel_MitchellvWisconsin.mp3,3508.72,3509.92,1.2,,,,,,
230_Hinkel_Kavanaugh_MitchellvWisconsin.mp3,3509.36,3513.92,4.56,,,,,,
231_Kavanaugh_Hinkel_MitchellvWisconsin.mp3,3518.92,3524.92,6,,,,,,
